infinitif,conjugated_like,participe_présent,participe_passé,forme_pronominale
remettre,mettre,remettant,remis,se remettre 
refuser,parler,refusant,refusé,se refuser 
terminer,parler,terminant,terminé,se terminer 
amuser,parler,amusant,amusé,s'amuser 
intéresser,parler,intéressant,intéressé,s'intéresser 
reconnaître,connaître,reconnaissant,reconnu,se reconnaître 
rire,rire,riant,ri,se rire 
pardonner,parler,pardonnant,pardonné,se pardonner 
embrasser,parler,embrassant,embrassé,–
danser,parler,dansant,dansé,–
exister,parler,existant,existé,–
réussir,choisir,réussissant,réussi,–
protéger,protéger,protégeant,protégé,se protéger 
prévenir,tenir,prévenant,prévenu,se prévenir 
habiter,parler,habitant,habité,–
déranger,manger,dérangeant,dérangé,se déranger 
reprendre,prendre,reprenant,repris,se reprendre 
détruire,traduire,détruisant,détruit,se détruire 
pousser,parler,poussant,poussé,se pousser 
découvrir,ouvrir,découvrant,découvert,se découvrir 
sauter,parler,sautant,sauté,se sauter 
rêver,parler,rêvant,rêvé,se rêver 
détester,parler,détestant,détesté,se détester 
paraître,connaître,paraissant,paru,se paraître 
empêcher,parler,empêchant,empêché,s'empêcher 
maintenir,tenir,maintenant,maintenu,se maintenir 
supposer,parler,supposant,supposé,se supposer 
épouser,parler,épousant,épousé,s'épouser 
approcher,parler,approchant,approché,s'approcher 
craindre,craindre,craignant,craint,se craindre 
crier,copier,criant,crié,–
inviter,parler,invitant,invité,s'inviter 
réfléchir,choisir,réfléchissant,réfléchi,se réfléchir 
arranger,manger,arrangeant,arrangé,s'arranger 
naître,naître,naissant,né,–
souffrir,ouvrir,souffrant,souffert,se souffrir 
remercier,copier,remerciant,remercié,se remercier 
baiser,parler,baisant,baisé,se baiser 
attraper,parler,attrapant,attrapé,–
dépêcher,parler,dépêchant,dépêché,se dépêcher 
abandonner,parler,abandonnant,abandonné,s'abandonner 
vérifier,copier,vérifiant,vérifié,se vérifier 
brûler,parler,brûlant,brûlé,se brûler 
assurer,parler,assurant,assuré,s'assurer 
traiter,parler,traitant,traité,se traiter 
blesser,parler,blessant,blessé,se blesser 
dégager,manger,dégageant,dégagé,se dégager 
filer,parler,filant,filé,–
risquer,parler,risquant,risqué,se risquer 
mener,lever,menant,mené,–
attaquer,parler,attaquant,attaqué,s'attaquer 
fumer,parler,fumant,fumé,–
répéter,céder,répétant,répété,se répéter 
signer,parler,signant,signé,se signer 
ficher,parler,fichant,fiché,se ficher 
mériter,parler,méritant,mérité,–
rejoindre,joindre,rejoignant,rejoint,se rejoindre 
discuter,parler,discutant,discuté,–
avancer,commencer,avançant,avancé,s'avancer 
reposer,parler,reposant,reposé,se reposer 
échapper,parler,échappant,échappé,s'échapper 
charger,manger,chargeant,chargé,se charger 
obliger,manger,obligeant,obligé,s'obliger 
accompagner,parler,accompagnant,accompagné,s'accompagner 
oser,parler,osant,osé,–
regretter,parler,regrettant,regretté,–
prouver,parler,prouvant,prouvé,se prouver 
dîner,parler,dînant,dîné,–
couvrir,ouvrir,couvrant,couvert,se couvrir 
obtenir,tenir,obtenant,obtenu,s'obtenir 
éviter,parler,évitant,évité,–
plaisanter,parler,plaisantant,plaisanté,–
virer,parler,virant,viré,se virer 
supporter,parler,supportant,supporté,se supporter 
régler,céder,réglant,réglé,se régler 
souhaiter,parler,souhaitant,souhaité,se souhaiter 
créer,créer,créant,créé,se créer 
surveiller,parler,surveillant,surveillé,se surveiller 
recommencer,commencer,recommençant,recommencé,se recommencer 
