infinitif,conjugated_like,participe_présent,participe_passé,forme_pronominale
contrer,parler,contrant,contré,–
communiquer,parler,communiquant,communiqué,se communiquer 
pénétrer,céder,pénétrant,pénétré,–
secouer,parler,secouant,secoué,se secouer 
fréquenter,parler,fréquentant,fréquenté,–
cingler,parler,cinglant,cinglé,–
franchir,choisir,franchissant,franchi,–
emballer,parler,emballant,emballé,–
négocier,copier,négociant,négocié,–
démolir,choisir,démolissant,démoli,–
planquer,parler,planquant,planqué,se planquer 
concevoir,recevoir,concevant,conçu,se concevoir 
navrer,parler,navrant,navré,se navrer 
bâtir,choisir,bâtissant,bâti,se bâtir 
étrangler,parler,étranglant,étranglé,s'étrangler 
consulter,parler,consultant,consulté,–
transférer,céder,transférant,transféré,se transférer 
dégoûter,parler,dégoûtant,dégoûté,se dégoûter 
loger,manger,logeant,logé,se loger 
consacrer,parler,consacrant,consacré,se consacrer 
opposer,parler,opposant,opposé,s'opposer 
éclairer,parler,éclairant,éclairé,s'éclairer 
appliquer,parler,appliquant,appliqué,s'appliquer 
dresser,parler,dressant,dressé,se dresser 
redevenir,tenir,redevenant,redevenu,–
démissionner,parler,démissionnant,démissionné,–
envier,copier,enviant,envié,–
choper,parler,chopant,chopé,–
capturer,parler,capturant,capturé,–
évacuer,parler,évacuant,évacué,–
citer,parler,citant,cité,–
salir,choisir,salissant,sali,se salir 
soumettre,mettre,soumettant,soumis,se soumettre 
célébrer,céder,célébrant,célébré,–
préoccuper,parler,préoccupant,préoccupé,se préoccuper 
ralentir,choisir,ralentissant,ralenti,se ralentir 
envahir,choisir,envahissant,envahi,–
racheter,acheter,rachetant,racheté,se racheter 
fondre,vendre,fondant,fondu,se fondre 
éveiller,parler,éveillant,éveillé,s'éveiller 
mater,parler,matant,maté,se mater 
pencher,parler,penchant,penché,se pencher 
massacrer,parler,massacrant,massacré,–
recommander,parler,recommandant,recommandé,se recommander 
défoncer,commencer,défonçant,défoncé,se défoncer 
ôter,parler,ôtant,ôté,s'ôter 
dater,parler,datant,daté,–
gonfler,parler,gonflant,gonflé,se gonfler 
pêcher,parler,pêchant,pêché,se pêcher 
investir,choisir,investissant,investi,s'investir 
accoucher,parler,accouchant,accouché,–
séduire,traduire,séduisant,séduit,se séduire 
merder,parler,merdant,merdé,–
bavarder,parler,bavardant,bavardé,–
envisager,manger,envisageant,envisagé,s'envisager 
troubler,parler,troublant,troublé,se troubler 
reproduire,traduire,reproduisant,reproduit,se reproduire 
réchauffer,parler,réchauffant,réchauffé,se réchauffer 
boucher,parler,bouchant,bouché,se boucher 
tricher,parler,trichant,triché,–
confondre,vendre,confondant,confondu,se confondre 
affecter,parler,affectant,affecté,s'affecter 
confesser,parler,confessant,confessé,se confesser 
humilier,copier,humiliant,humilié,s'humilier 
distraire,distraire,distrayant,distrait,se distraire 
fonder,parler,fondant,fondé,se fonder 
tremper,parler,trempant,trempé,se tremper 
abîmer,parler,abîmant,abîmé,s'abîmer 
applaudir,choisir,applaudissant,applaudi,s'applaudir 
offenser,parler,offensant,offensé,s'offenser 
accélérer,céder,accélérant,accéléré,–
percer,commencer,perçant,percé,se percer 
déborder,parler,débordant,débordé,–
féliciter,parler,félicitant,félicité,se féliciter 
caresser,parler,caressant,caressé,se caresser 
braquer,parler,braquant,braqué,se braquer 
dominer,parler,dominant,dominé,se dominer 
affirmer,parler,affirmant,affirmé,s'affirmer 
baser,parler,basant,basé,se baser 
mentionner,parler,mentionnant,mentionné,–
luire,traduire,luisant,"i class=""defect""luii",–
enchanter,parler,enchantant,enchanté,s'enchanter 
maîtriser,parler,maîtrisant,maîtrisé,se maîtriser 
vexer,parler,vexant,vexé,se vexer 
justifier,copier,justifiant,justifié,se justifier 
botter,parler,bottant,botté,se botter 
parcourir,courir,parcourant,parcouru,–
boiter,parler,boitant,boité,–
enculer,parler,enculant,enculé,–
traduire,traduire,traduisant,traduit,se traduire 
analyser,parler,analysant,analysé,s'analyser 
approuver,parler,approuvant,approuvé,s'approuver 
doubler,parler,doublant,doublé,se doubler 
encourager,manger,encourageant,encouragé,s'encourager 
ressortir,choisir,ressortissant,ressorti,–
kidnapper,parler,kidnappant,kidnappé,–
circuler,parler,circulant,circulé,–
adopter,parler,adoptant,adopté,s'adopter 
claquer,parler,claquant,claqué,–
conserver,parler,conservant,conservé,se conserver 
mépriser,parler,méprisant,méprisé,se mépriser 
conquérir,acquérir,conquérant,conquis,se conquérir 
déguiser,parler,déguisant,déguisé,se déguiser 
faucher,parler,fauchant,fauché,–
foirer,parler,foirant,foiré,–
nuire,traduire,nuisant,"i class=""defect""nuii",se nuire 
imiter,parler,imitant,imité,–
agiter,parler,agitant,agité,s'agiter 
larguer,parler,larguant,largué,–
préserver,parler,préservant,préservé,se préserver 
exercer,commencer,exerçant,exercé,s'exercer 
déterminer,parler,déterminant,déterminé,se déterminer 
bander,parler,bandant,bandé,–
délivrer,parler,délivrant,délivré,se délivrer 
consoler,parler,consolant,consolé,se consoler 
figurer,parler,figurant,figuré,se figurer 
plier,copier,pliant,plié,se plier 
mélanger,manger,mélangeant,mélangé,se mélanger 
détourner,parler,détournant,détourné,–
poignarder,parler,poignardant,poignardé,se poignarder 
flipper,parler,flippant,flippé,–
griller,parler,grillant,grillé,–
isoler,parler,isolant,isolé,s'isoler 
lécher,céder,léchant,léché,se lécher 
arroser,parler,arrosant,arrosé,s'arroser 
composer,parler,composant,composé,–
distribuer,parler,distribuant,distribué,–
fourrer,parler,fourrant,fourré,–
suspendre,vendre,suspendant,suspendu,se suspendre 
écrouler,parler,écroulant,écroulé,s'écrouler 
traquer,parler,traquant,traqué,–
engueuler,parler,engueulant,engueulé,s'engueuler 
pratiquer,parler,pratiquant,pratiqué,se pratiquer 
cueillir,cueillir,cueillant,cueilli,se cueillir 
bouleverser,parler,bouleversant,bouleversé,se bouleverser 
délirer,parler,délirant,déliré,–
emménager,manger,emménageant,emménagé,–
associer,copier,associant,associé,s'associer 
provenir,tenir,provenant,provenu,–
user,parler,usant,usé,s'user 
choquer,parler,choquant,choqué,se choquer 
défier,copier,défiant,défié,se défier 
supprimer,parler,supprimant,supprimé,se supprimer 
adapter,parler,adaptant,adapté,s'adapter 
agresser,parler,agressant,agressé,–
fiancer,commencer,fiançant,fiancé,se fiancer 
tailler,parler,taillant,taillé,se tailler 
entretenir,tenir,entretenant,entretenu,s'entretenir 
effondrer,parler,effondrant,effondré,s'effondrer 
anéantir,choisir,anéantissant,anéanti,s'anéantir 
demeurer,parler,demeurant,demeuré,–
piloter,parler,pilotant,piloté,–
droguer,parler,droguant,drogué,se droguer 
embaucher,parler,embauchant,embauché,–
assommer,parler,assommant,assommé,s'assommer 
rajouter,parler,rajoutant,rajouté,–
tolérer,céder,tolérant,toléré,se tolérer 
siffler,parler,sifflant,sifflé,se siffler 
empirer,parler,empirant,empiré,–
bousiller,parler,bousillant,bousillé,se bousiller 
procéder,céder,procédant,procédé,–
localiser,parler,localisant,localisé,–
assumer,parler,assumant,assumé,s'assumer 
relier,copier,reliant,relié,se relier 
évader,parler,évadant,évadé,s'évader 
flotter,parler,flottant,flotté,–
distinguer,parler,distinguant,distingué,se distinguer 
procurer,parler,procurant,procuré,se procurer 
détenir,tenir,détenant,détenu,se détenir 
branler,parler,branlant,branlé,se branler 
découper,parler,découpant,découpé,–
tabasser,parler,tabassant,tabassé,–
dealer,parler,dealant,dealé,–
activer,parler,activant,activé,s'activer 
introduire,traduire,introduisant,introduit,s'introduire 
aborder,parler,abordant,abordé,s'aborder 
destiner,parler,destinant,destiné,se destiner 
frotter,parler,frottant,frotté,se frotter 
économiser,parler,économisant,économisé,s'économiser 
plaquer,parler,plaquant,plaqué,–
rétablir,choisir,rétablissant,rétabli,se rétablir 
flatter,parler,flattant,flatté,se flatter 
manipuler,parler,manipulant,manipulé,–
défaire,faire,défaisant,défait,–
corriger,manger,corrigeant,corrigé,se corriger 
tordre,vendre,tordant,tordu,se tordre 
déplaire,plaire,déplaisant,déplu,se déplaire 
désespérer,céder,désespérant,désespéré,se désespérer 
trinquer,parler,trinquant,trinqué,–
calculer,parler,calculant,calculé,–
balayer,payer,balayant,balayé,–
classer,parler,classant,classé,–
gratter,parler,grattant,gratté,se gratter 
aspirer,parler,aspirant,aspiré,–
louper,parler,loupant,loupé,se louper 
refermer,parler,refermant,refermé,se refermer 
trancher,parler,tranchant,tranché,–
hériter,parler,héritant,hérité,–
coopérer,céder,coopérant,coopéré,–
précipiter,parler,précipitant,précipité,se précipiter 
retarder,parler,retardant,retardé,se retarder 
réciter,parler,récitant,récité,se réciter 
implorer,parler,implorant,imploré,–
essuyer,employer,essuyant,essuyé,s'essuyer 
miser,parler,misant,misé,–
perturber,parler,perturbant,perturbé,–
ronger,manger,rongeant,rongé,se ronger 
redescendre,vendre,redescendant,redescendu,se redescendre 
damer,parler,damant,damé,–
évoquer,parler,évoquant,évoqué,–
ramper,parler,rampant,rampé,–
obséder,céder,obsédant,obsédé,–
gaspiller,parler,gaspillant,gaspillé,–
plaider,parler,plaidant,plaidé,–
ressusciter,parler,ressuscitant,ressuscité,–
enfiler,parler,enfilant,enfilé,–
tâcher,parler,tâchant,tâché,–
dérouler,parler,déroulant,déroulé,–
hanter,parler,hantant,hanté,–
flinguer,parler,flinguant,flingué,–
exclure,conclure,excluant,exclu,s'exclure 
élire,lire,élisant,élu,s'élire 
périr,choisir,périssant,péri,–
limiter,parler,limitant,limité,se limiter 
maquiller,parler,maquillant,maquillé,se maquiller 
harceler,acheter,harcelant,harcelé,se harceler 
recouvrir,ouvrir,recouvrant,recouvert,se recouvrir 
retomber,parler,retombant,retombé,–
contrarier,copier,contrariant,contrarié,se contrarier 
gâter,parler,gâtant,gâté,se gâter 
surgir,choisir,surgissant,surgi,–
espionner,parler,espionnant,espionné,–
modifier,copier,modifiant,modifié,–
convoquer,parler,convoquant,convoqué,–
bombarder,parler,bombardant,bombardé,se bombarder 
pincer,commencer,pinçant,pincé,se pincer 
défiler,parler,défilant,défilé,se défiler 
haver,parler,havant,havé,–
vanter,parler,vantant,vanté,se vanter 
récolter,parler,récoltant,récolté,–
déprimer,parler,déprimant,déprimé,–
évoluer,parler,évoluant,évolué,–
constater,parler,constatant,constaté,–
disperser,parler,dispersant,dispersé,se disperser 
grossir,choisir,grossissant,grossi,–
refroidir,choisir,refroidissant,refroidi,se refroidir 
égarer,parler,égarant,égaré,s'égarer 
effectuer,parler,effectuant,effectué,–
tourmenter,parler,tourmentant,tourmenté,se tourmenter 
tracer,commencer,traçant,tracé,se tracer 
errer,parler,errant,erré,–
situer,parler,situant,situé,se situer 
critiquer,parler,critiquant,critiqué,se critiquer 
revivre,vivre,revivant,revécu,se revivre 
tracasser,parler,tracassant,tracassé,se tracasser 
encaisser,parler,encaissant,encaissé,–
photographier,copier,photographiant,photographié,–
graver,parler,gravant,gravé,–
renforcer,commencer,renforçant,renforcé,se renforcer 
diffuser,parler,diffusant,diffusé,–
cultiver,parler,cultivant,cultivé,se cultiver 
compromettre,mettre,compromettant,compromis,se compromettre 
manifester,parler,manifestant,manifesté,se manifester 
diviser,parler,divisant,divisé,–
protester,parler,protestant,protesté,–
décharger,manger,déchargeant,déchargé,se décharger 
patienter,parler,patientant,patienté,–
débuter,parler,débutant,débuté,–
désigner,parler,désignant,désigné,se désigner 
explorer,parler,explorant,exploré,–
infecter,parler,infectant,infecté,s'infecter 
récompenser,parler,récompensant,récompensé,se récompenser 
financer,commencer,finançant,financé,se financer 
progresser,parler,progressant,progressé,–
baptiser,parler,baptisant,baptisé,–
insinuer,parler,insinuant,insinué,–
capter,parler,captant,capté,–
pécher,céder,péchant,péché,se pécher 
détecter,parler,détectant,détecté,–
gueuler,parler,gueulant,gueulé,–
soupirer,parler,soupirant,soupiré,–
baver,parler,bavant,bavé,–
heurter,parler,heurtant,heurté,se heurter 
aviser,parler,avisant,avisé,s'aviser 
liquider,parler,liquidant,liquidé,–
projeter,appeler,projetant,projeté,se projeter 
refiler,parler,refilant,refilé,se refiler 
repenser,parler,repensant,repensé,se repenser 
endurer,parler,endurant,enduré,–
contaminer,parler,contaminant,contaminé,se contaminer 
poster,parler,postant,posté,se poster 
regagner,parler,regagnant,regagné,–
interpréter,céder,interprétant,interprété,–
exploiter,parler,exploitant,exploité,–
stopper,parler,stoppant,stoppé,se stopper 
émouvoir,mouvoir,émouvant,"i class=""defect""émui",s'émouvoir 
polir,choisir,polissant,poli,se polir 
émettre,mettre,émettant,émis,s'émettre 
redonner,parler,redonnant,redonné,se redonner 
négliger,manger,négligeant,négligé,se négliger 
blaguer,parler,blaguant,blagué,–
surfer,parler,surfant,surfé,–
blâmer,parler,blâmant,blâmé,se blâmer 
combler,parler,comblant,comblé,se combler 
convertir,choisir,convertissant,converti,se convertir 
fasciner,parler,fascinant,fasciné,–
surmonter,parler,surmontant,surmonté,se surmonter 
préciser,parler,précisant,précisé,se préciser 
présumer,parler,présumant,présumé,–
expulser,parler,expulsant,expulsé,–
tousser,parler,toussant,toussé,–
remporter,parler,remportant,remporté,–
avérer,céder,avérant,avéré,s'avérer 
gémir,choisir,gémissant,gémi,–
apprêter,parler,apprêtant,apprêté,s'apprêter 
coter,parler,cotant,coté,–
prédire,dire,prédisant,prédit,se prédire 
réconcilier,copier,réconciliant,réconcilié,se réconcilier 
égorger,manger,égorgeant,égorgé,–
forger,manger,forgeant,forgé,se forger 
rougir,choisir,rougissant,rougi,–
écouler,parler,écoulant,écoulé,–
constituer,parler,constituant,constitué,se constituer 
rafraîchir,choisir,rafraîchissant,rafraîchi,se rafraîchir 
clocher,parler,clochant,cloché,–
redresser,parler,redressant,redressé,se redresser 
connecter,parler,connectant,connecté,se connecter 
coudre,coudre,cousant,cousu,se coudre 
lover,parler,lovant,lové,se lover 
souper,parler,soupant,soupé,–
dévoiler,parler,dévoilant,dévoilé,se dévoiler 
verrouiller,parler,verrouillant,verrouillé,se verrouiller 
faciliter,parler,facilitant,facilité,se faciliter 
gronder,parler,grondant,grondé,se gronder 
raisonner,parler,raisonnant,raisonné,se raisonner 
naviguer,parler,naviguant,navigué,–
prescrire,écrire,prescrivant,prescrit,se prescrire 
dédier,copier,dédiant,dédié,se dédier 
expédier,copier,expédiant,expédié,–
dissimuler,parler,dissimulant,dissimulé,se dissimuler 
imprimer,parler,imprimant,imprimé,–
bousculer,parler,bousculant,bousculé,se bousculer 
débattre,battre,débattant,débattu,se débattre 
encercler,parler,encerclant,encerclé,–
redire,dire,redisant,redit,se redire 
accéder,céder,accédant,accédé,–
contempler,parler,contemplant,contemplé,se contempler 
scanner,parler,scannant,scanné,–
extraire,distraire,extrayant,extrait,s'extraire 
décorer,parler,décorant,décoré,se décorer 
recueillir,cueillir,recueillant,recueilli,se recueillir 
éclaircir,choisir,éclaircissant,éclairci,–
apaiser,parler,apaisant,apaisé,s'apaiser 
guetter,parler,guettant,guetté,–
rédiger,manger,rédigeant,rédigé,–
terrifier,copier,terrifiant,terrifié,se terrifier 
dicter,parler,dictant,dicté,se dicter 
coiffer,parler,coiffant,coiffé,se coiffer 
décéder,céder,décédant,décédé,–
afficher,parler,affichant,affiché,s'afficher 
acquérir,acquérir,acquérant,acquis,s'acquérir 
influencer,commencer,influençant,influencé,s'influencer 
gerber,parler,gerbant,gerbé,–
escorter,parler,escortant,escorté,–
réviser,parler,révisant,révisé,se réviser 
embrouiller,parler,embrouillant,embrouillé,s'embrouiller 
planifier,copier,planifiant,planifié,–
confronter,parler,confrontant,confronté,se confronter 
invoquer,parler,invoquant,invoqué,–
inclure,conclure,incluant,"incli class=""defect""usi",s'inclure 
hisser,parler,hissant,hissé,se hisser 
manager,manger,manageant,managé,se manager 
copier,copier,copiant,copié,se copier 
éduquer,parler,éduquant,éduqué,–
déshonorer,parler,déshonorant,déshonoré,se déshonorer 
intégrer,céder,intégrant,intégré,s'intégrer 
maudire,choisir,"i class=""defect""maudiissant","i class=""defect""mauditi",se maudire 
advenir,tenir,advenant,advenu,–
diminuer,parler,diminuant,diminué,se diminuer 
abriter,parler,abritant,abrité,s'abriter 
purifier,copier,purifiant,purifié,se purifier 
neiger,manger,neigeant,neigé,–
planer,parler,planant,plané,–
paralyser,parler,paralysant,paralysé,se paralyser 
prêcher,parler,prêchant,prêché,se prêcher 
terroriser,parler,terrorisant,terrorisé,–
aligner,parler,alignant,aligné,s'aligner 
tripoter,parler,tripotant,tripoté,se tripoter 
fendre,vendre,fendant,fendu,se fendre 
clore,clore,closant,clos,se clore 
coffrer,parler,coffrant,coffré,–
transpirer,parler,transpirant,transpiré,–
cerner,parler,cernant,cerné,se cerner 
enrichir,choisir,enrichissant,enrichi,s'enrichir 
triompher,parler,triomphant,triomphé,–
vêtir,vêtir,vêtant,vêtu,se vêtir 
piller,parler,pillant,pillé,–
brosser,parler,brossant,brossé,se brosser 
peiner,parler,peinant,peiné,–
bouillir,bouillir,bouillant,bouilli,–
aggraver,parler,aggravant,aggravé,s'aggraver 
fouetter,parler,fouettant,fouetté,se fouetter 
gouverner,parler,gouvernant,gouverné,se gouverner 
saler,parler,salant,salé,–
enchaîner,parler,enchaînant,enchaîné,s'enchaîner 
niquer,parler,niquant,niqué,–
attribuer,parler,attribuant,attribué,s'attribuer 
consommer,parler,consommant,consommé,–
inspecter,parler,inspectant,inspecté,–
ridiculiser,parler,ridiculisant,ridiculisé,se ridiculiser 
régaler,parler,régalant,régalé,se régaler 
collaborer,parler,collaborant,collaboré,–
engendrer,parler,engendrant,engendré,–
clouer,parler,clouant,cloué,se clouer 
consister,parler,consistant,consisté,–
plancher,parler,planchant,planché,–
résumer,parler,résumant,résumé,se résumer 
recruter,parler,recrutant,recruté,–
renaître,naître,renaissant,rené,–
entamer,parler,entamant,entamé,–
aboyer,employer,aboyant,aboyé,–
freiner,parler,freinant,freiné,–
lasser,parler,lassant,lassé,se lasser 
rayer,payer,rayant,rayé,se rayer 
percevoir,recevoir,percevant,perçu,se percevoir 
inculper,parler,inculpant,inculpé,s'inculper 
incliner,parler,inclinant,incliné,s'incliner 
stresser,parler,stressant,stressé,se stresser 
suer,parler,suant,sué,–
murmurer,parler,murmurant,murmuré,–
sous-estimer,parler,sous-estimant,sous-estimé,se sous-estimer 
agrandir,choisir,agrandissant,agrandi,s'agrandir 
chialer,parler,chialant,chialé,–
enflammer,parler,enflammant,enflammé,s'enflammer 
harper,parler,harpant,harpé,–
trafiquer,parler,trafiquant,trafiqué,se trafiquer 
reconstruire,traduire,reconstruisant,reconstruit,se reconstruire 
définir,choisir,définissant,défini,se définir 
glacer,commencer,glaçant,glacé,se glacer 
dérober,parler,dérobant,dérobé,se dérober 
programmer,parler,programmant,programmé,se programmer 
démontrer,parler,démontrant,démontré,–
déployer,employer,déployant,déployé,se déployer 
improviser,parler,improvisant,improvisé,–
déduire,traduire,déduisant,déduit,se déduire 
flirter,parler,flirtant,flirté,–
chatouiller,parler,chatouillant,chatouillé,se chatouiller 
muter,parler,mutant,muté,–
bannir,choisir,bannissant,banni,se bannir 
contredire,dire,contredisant,contredit,se contredire 
mijoter,parler,mijotant,mijoté,se mijoter 
intimider,parler,intimidant,intimidé,–
rimer,parler,rimant,rimé,–
infiltrer,parler,infiltrant,infiltré,s'infiltrer 
renier,copier,reniant,renié,se renier 
vouer,parler,vouant,voué,se vouer 
réconforter,parler,réconfortant,réconforté,se réconforter 
exterminer,parler,exterminant,exterminé,–
shooter,parler,shootant,shooté,se shooter 
démonter,parler,démontant,démonté,se démonter 
injecter,parler,injectant,injecté,–
cambrioler,parler,cambriolant,cambriolé,–
exaucer,commencer,exauçant,exaucé,s'exaucer 
entreprendre,prendre,entreprenant,entrepris,s'entreprendre 
piétiner,parler,piétinant,piétiné,–
replier,copier,repliant,replié,se replier 
gifler,parler,giflant,giflé,–
rouvrir,ouvrir,rouvrant,rouvert,se rouvrir 
doucher,parler,douchant,douché,se doucher 
revendre,vendre,revendant,revendu,se revendre 
rouiller,parler,rouillant,rouillé,se rouiller 
irriter,parler,irritant,irrité,s'irriter 
embarrasser,parler,embarrassant,embarrassé,–
inonder,parler,inondant,inondé,–
contourner,parler,contournant,contourné,–
enfreindre,atteindre,enfreignant,enfreint,s'enfreindre 
absorber,parler,absorbant,absorbé,s'absorber 
affaiblir,choisir,affaiblissant,affaibli,s'affaiblir 
contraindre,craindre,contraignant,contraint,se contraindre 
intercepter,parler,interceptant,intercepté,–
surpasser,parler,surpassant,surpassé,se surpasser 
frire,confire,frisant,frit,se frire 
fusiller,parler,fusillant,fusillé,–
affamer,parler,affamant,affamé,s'affamer 
ronfler,parler,ronflant,ronflé,–
râler,parler,râlant,râlé,–
redouter,parler,redoutant,redouté,–
consumer,parler,consumant,consumé,se consumer 
infliger,manger,infligeant,infligé,s'infliger 
tacher,parler,tachant,taché,se tacher 
souiller,parler,souillant,souillé,se souiller 
aveugler,parler,aveuglant,aveuglé,s'aveugler 
proclamer,parler,proclamant,proclamé,se proclamer 
sécuriser,parler,sécurisant,sécurisé,–
emprisonner,parler,emprisonnant,emprisonné,s'emprisonner 
illuminer,parler,illuminant,illuminé,s'illuminer 
cirer,parler,cirant,ciré,–
propager,manger,propageant,propagé,se propager 
démasquer,parler,démasquant,démasqué,se démasquer 
alerter,parler,alertant,alerté,s'alerter 
emplir,choisir,emplissant,empli,–
arnaquer,parler,arnaquant,arnaqué,–
déchaîner,parler,déchaînant,déchaîné,se déchaîner 
étaler,parler,étalant,étalé,s'étaler 
agacer,commencer,agaçant,agacé,s'agacer 
inciter,parler,incitant,incité,s'inciter 
maltraiter,parler,maltraitant,maltraité,se maltraiter 
relire,lire,relisant,relu,se relire 
restaurer,parler,restaurant,restauré,se restaurer 
bluffer,parler,bluffant,bluffé,se bluffer 
inverser,parler,inversant,inversé,–
questionner,parler,questionnant,questionné,se questionner 
animer,parler,animant,animé,s'animer 
équiper,parler,équipant,équipé,s'équiper 
remarier,copier,remariant,remarié,se remarier 
saboter,parler,sabotant,saboté,–
tutoyer,employer,tutoyant,tutoyé,se tutoyer 
alimenter,parler,alimentant,alimenté,s'alimenter 
requérir,acquérir,requérant,requis,se requérir 
dévaliser,parler,dévalisant,dévalisé,–
qualifier,copier,qualifiant,qualifié,se qualifier 
camper,parler,campant,campé,se camper 
désobéir,choisir,désobéissant,désobéi,–
enrager,manger,enrageant,enragé,–
soûler,parler,soûlant,soûlé,se soûler 
suspecter,parler,suspectant,suspecté,–
brouiller,parler,brouillant,brouillé,se brouiller 
débrancher,parler,débranchant,débranché,–
précéder,céder,précédant,précédé,–
promouvoir,mouvoir,promouvant,"i class=""defect""promui",se promouvoir 
tarer,parler,tarant,taré,–
débloquer,parler,débloquant,débloqué,–
multiplier,copier,multipliant,multiplié,–
prélever,lever,prélevant,prélevé,–
expirer,parler,expirant,expiré,–
secourir,courir,secourant,secouru,se secourir 
consentir,partir,consentant,consenti,–
languir,choisir,languissant,langui,se languir 
licencier,copier,licenciant,licencié,–
affoler,parler,affolant,affolé,s'affoler 
confisquer,parler,confisquant,confisqué,–
feindre,atteindre,feignant,feint,se feindre 
gober,parler,gobant,gobé,–
picoler,parler,picolant,picolé,–
conjurer,parler,conjurant,conjuré,se conjurer 
ressaisir,choisir,ressaisissant,ressaisi,se ressaisir 
vénérer,céder,vénérant,vénéré,–
instruire,traduire,instruisant,instruit,s'instruire 
angoisser,parler,angoissant,angoissé,s'angoisser 
reconduire,traduire,reconduisant,reconduit,se reconduire 
flanquer,parler,flanquant,flanqué,se flanquer 
sous-titrer,parler,sous-titrant,sous-titré,–
digérer,céder,digérant,digéré,–
recoudre,coudre,recousant,recousu,se recoudre 
jaillir,choisir,jaillissant,jailli,–
boxer,parler,boxant,boxé,se boxer 
héberger,manger,hébergeant,hébergé,s'héberger 
rôder,parler,rôdant,rôdé,–
passionner,parler,passionnant,passionné,se passionner 
pleurnicher,parler,pleurnichant,pleurniché,–
évaluer,parler,évaluant,évalué,–
collectionner,parler,collectionnant,collectionné,–
approprier,copier,appropriant,approprié,s'approprier 
désarmer,parler,désarmant,désarmé,–
maigrir,choisir,maigrissant,maigri,–
manier,copier,maniant,manié,–
charmer,parler,charmant,charmé,se charmer 
masser,parler,massant,massé,se masser 
dégonfler,parler,dégonflant,dégonflé,–
contribuer,parler,contribuant,contribué,–
hâter,parler,hâtant,hâté,se hâter 
sceller,parler,scellant,scellé,–
intriguer,parler,intriguant,intrigué,–
refléter,céder,reflétant,reflété,se refléter 
couronner,parler,couronnant,couronné,se couronner 
renifler,parler,reniflant,reniflé,–
accabler,parler,accablant,accablé,s'accabler 
fouiner,parler,fouinant,fouiné,–
sombrer,parler,sombrant,sombré,–
chuter,parler,chutant,chuté,–
motiver,parler,motivant,motivé,se motiver 
rhabiller,parler,rhabillant,rhabillé,se rhabiller 
méditer,parler,méditant,médité,–
relaxer,parler,relaxant,relaxé,se relaxer 
purger,manger,purgeant,purgé,se purger 
simuler,parler,simulant,simulé,–
déterrer,parler,déterrant,déterré,–
avorter,parler,avortant,avorté,–
pondre,vendre,pondant,pondu,se pondre 
brandir,choisir,brandissant,brandi,se brandir 
survoler,parler,survolant,survolé,–
démerder,parler,démerdant,démerdé,se démerder 
ramer,parler,ramant,ramé,–
peloter,parler,pelotant,peloté,–
rendormir,dormir,rendormant,rendormi,se rendormir 
aboutir,choisir,aboutissant,abouti,–
blanchir,choisir,blanchissant,blanchi,se blanchir 
culpabiliser,parler,culpabilisant,culpabilisé,se culpabiliser 
corrompre,vendre,corrompant,corrompu,se corrompre 
reporter,parler,reportant,reporté,se reporter 
neutraliser,parler,neutralisant,neutralisé,–
réessayer,payer,réessayant,réessayé,se réessayer 
acquitter,parler,acquittant,acquitté,s'acquitter 
basculer,parler,basculant,basculé,se basculer 
endommager,manger,endommageant,endommagé,–
poindre,joindre,poignant,point,–
prolonger,manger,prolongeant,prolongé,se prolonger 
pomper,parler,pompant,pompé,–
taquiner,parler,taquinant,taquiné,se taquiner 
croquer,parler,croquant,croqué,–
envelopper,parler,enveloppant,enveloppé,s'envelopper 
chuchoter,parler,chuchotant,chuchoté,–
gaffer,parler,gaffant,gaffé,–
rajeunir,choisir,rajeunissant,rajeuni,se rajeunir 
hospitaliser,parler,hospitalisant,hospitalisé,s'hospitaliser 
accourir,courir,accourant,accouru,–
ménager,manger,ménageant,ménagé,se ménager 
bouder,parler,boudant,boudé,se bouder 
bagarrer,parler,bagarrant,bagarré,se bagarrer 
bondir,choisir,bondissant,bondi,–
bronzer,parler,bronzant,bronzé,se bronzer 
dénicher,parler,dénichant,déniché,se dénicher 
résonner,parler,résonnant,résonné,–
repeindre,atteindre,repeignant,repeint,se repeindre 
manigancer,commencer,manigançant,manigancé,se manigancer 
scier,copier,sciant,scié,–
mâcher,parler,mâchant,mâché,–
léguer,céder,léguant,légué,se léguer 
désactiver,parler,désactivant,désactivé,–
égaler,parler,égalant,égalé,–
épater,parler,épatant,épaté,s'épater 
dégainer,parler,dégainant,dégainé,–
relancer,commencer,relançant,relancé,se relancer 
résider,parler,résidant,résidé,–
abaisser,parler,abaissant,abaissé,s'abaisser 
surnommer,parler,surnommant,surnommé,se surnommer 
épier,copier,épiant,épié,–
trébucher,parler,trébuchant,trébuché,–
déserter,parler,désertant,déserté,–
compléter,céder,complétant,complété,se compléter 
ajuster,parler,ajustant,ajusté,s'ajuster 
déchiffrer,parler,déchiffrant,déchiffré,–
escalader,parler,escaladant,escaladé,–
décréter,céder,décrétant,décrété,–
survenir,tenir,survenant,survenu,–
rallumer,parler,rallumant,rallumé,se rallumer 
élargir,choisir,élargissant,élargi,–
contester,parler,contestant,contesté,–
décourager,manger,décourageant,découragé,se décourager 
stabiliser,parler,stabilisant,stabilisé,se stabiliser 
miner,parler,minant,miné,se miner 
réapparaître,connaître,réapparaissant,réapparu,–
